model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,cert_region
ACURA MDX,3.7,(6 cyl),Auto-S5,4WD,Gasoline,SUV,7,15,20,17,4,no,CA
ACURA MDX,3.7,(6 cyl),Auto-S5,4WD,Gasoline,SUV,6,15,20,17,4,no,FA
ACURA RDX,2.3,(4 cyl),Auto-S5,4WD,Gasoline,SUV,7,17,22,19,5,no,CA
ACURA RDX,2.3,(4 cyl),Auto-S5,4WD,Gasoline,SUV,6,17,22,19,5,no,FA
ACURA RL,3.5,(6 cyl),Auto-S5,4WD,Gasoline,midsize car,7,16,24,19,5,no,CA
ACURA RL,3.5,(6 cyl),Auto-S5,4WD,Gasoline,midsize car,6,16,24,19,5,no,FA
ACURA TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,midsize car,7,18,26,21,6,yes,CA
ACURA TL,3.5,(6 cyl),Auto-S5,2WD,Gasoline,midsize car,7,17,26,20,6,yes,CA
ACURA TL,3.5,(6 cyl),Man-6,2WD,Gasoline,midsize car,7,18,27,21,6,yes,CA
ACURA TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,midsize car,6,18,26,21,6,no,FA
ACURA TL,3.5,(6 cyl),Auto-S5,2WD,Gasoline,midsize car,6,17,26,20,6,no,FA
ACURA TL,3.5,(6 cyl),Man-6,2WD,Gasoline,midsize car,6,18,27,21,6,no,FA
ACURA TSX,2.4,(4 cyl),Man-6,2WD,Gasoline,small car,6,19,28,22,6,no,FA
ACURA TSX,2.4,(4 cyl),Auto-S5,2WD,Gasoline,small car,6,20,28,23,7,yes,FA
ACURA TSX,2.4,(4 cyl),Man-6,2WD,Gasoline,small car,6,19,28,22,6,no,CA
ACURA TSX,2.4,(4 cyl),Auto-S5,2WD,Gasoline,small car,6,20,28,23,7,yes,CA
ASTON MARTIN DB9,5.9,(12 cyl),Man-6,2WD,Gasoline,small car,6,10,16,12,0,no,FA
ASTON MARTIN DB9,5.9,(12 cyl),Auto-S6,2WD,Gasoline,small car,6,11,18,13,1,no,FA
ASTON MARTIN DB9,5.9,(12 cyl),Man-6,2WD,Gasoline,small car,6,10,16,12,0,no,CA
ASTON MARTIN DB9,5.9,(12 cyl),Auto-S6,2WD,Gasoline,small car,6,11,18,13,1,no,CA
ASTON MARTIN DB9 Volante,5.9,(12 cyl),Man-6,2WD,Gasoline,small car,6,10,16,12,0,no,FA
ASTON MARTIN DB9 Volante,5.9,(12 cyl),Auto-S6,2WD,Gasoline,small car,6,11,17,13,1,no,FA
ASTON MARTIN DB9 Volante,5.9,(12 cyl),Man-6,2WD,Gasoline,small car,6,10,16,12,0,no,CA
ASTON MARTIN DB9 Volante,5.9,(12 cyl),Auto-S6,2WD,Gasoline,small car,6,11,17,13,1,no,CA
ASTON MARTIN V8 Vantage,4.3,(8 cyl),Man-6,2WD,Gasoline,small car,6,12,19,15,3,no,FA
ASTON MARTIN V8 Vantage,4.3,(8 cyl),Auto-S6,2WD,Gasoline,small car,6,13,20,15,3,no,FA
ASTON MARTIN V8 Vantage,4.3,(8 cyl),Man-6,2WD,Gasoline,small car,6,12,19,15,3,no,CA
ASTON MARTIN V8 Vantage,4.3,(8 cyl),Auto-S6,2WD,Gasoline,small car,6,13,20,15,3,no,CA
AUDI A3,2.0,(4 cyl),Man-6,2WD,Gasoline,station wagon,7,21,29,24,7,yes,CA
AUDI A3,2.0,(4 cyl),Auto-S6,2WD,Gasoline,station wagon,7,22,29,25,7,yes,CA
AUDI A3,2.0,(4 cyl),Man-6,2WD,Gasoline,station wagon,6,21,29,24,7,yes,FA
AUDI A3,2.0,(4 cyl),Auto-S6,2WD,Gasoline,station wagon,6,22,29,25,7,yes,FA
AUDI A3,3.2,(6 cyl),Auto-S6,4WD,Gasoline,station wagon,6,18,25,21,6,no,FA
AUDI A3,3.2,(6 cyl),Auto-S6,4WD,Gasoline,station wagon,6,18,25,21,6,no,CA
AUDI A4,2.0,(4 cyl),Auto-AV,2WD,Gasoline,small car,7,21,30,24,7,yes,CA
AUDI A4,2.0,(4 cyl),Auto-AV,2WD,Gasoline,small car,6,21,30,24,7,yes,FA
AUDI A4,3.1,(6 cyl),Man-6,4WD,Gasoline,small car,6,15,25,19,5,no,FA
AUDI A4,3.1,(6 cyl),Auto-S6,4WD,Gasoline,small car,6,17,25,20,6,no,FA
AUDI A4,3.1,(6 cyl),Auto-AV,2WD,Gasoline,small car,6,18,27,21,6,no,FA
AUDI A4,3.1,(6 cyl),Man-6,4WD,Gasoline,small car,6,15,25,19,5,no,CA
AUDI A4,3.1,(6 cyl),Auto-S6,4WD,Gasoline,small car,6,17,25,20,6,no,CA
AUDI A4,3.1,(6 cyl),Auto-AV,2WD,Gasoline,small car,6,18,27,21,6,no,CA
AUDI A4 Avant,3.1,(6 cyl),Man-6,4WD,Gasoline,station wagon,6,15,25,19,5,no,FA
AUDI A4 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,station wagon,6,17,25,20,6,no,FA
AUDI A4 Avant,3.1,(6 cyl),Man-6,4WD,Gasoline,station wagon,6,15,25,19,5,no,CA
AUDI A4 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,station wagon,6,17,25,20,6,no,CA
AUDI A4 Cabriolet,3.1,(6 cyl),Auto-S6,4WD,Gasoline,small car,6,17,25,20,6,no,FA
AUDI A4 Cabriolet,3.1,(6 cyl),Auto-S6,4WD,Gasoline,small car,6,17,25,20,6,no,CA
AUDI A6,3.1,(6 cyl),Auto-S6,4WD,Gasoline,midsize car,6,17,25,20,6,no,FA
AUDI A6,3.1,(6 cyl),Auto-AV,2WD,Gasoline,midsize car,6,18,27,21,6,no,FA
