,title,audience_score,number_of_audience_ratings
0,12 Angry Men (Twelve Angry Men) (1957) ,97,103672
1,12 Years a Slave (2013) ,90,138789
2,A Hard Day's Night (1964) ,89,50067
3,A Streetcar Named Desire (1951) ,90,54761
4,Alien (1979) ,94,457186
5,All About Eve (1950) ,94,44564
6,All Quiet on the Western Front (1930) ,89,17768
7,Apocalypse Now (1979) ,94,284606
8,Argo (2012) ,90,207373
9,Army of Shadows (L'ArmÃ©e des ombres) (1969) ,94,7011
10,Arrival (2016) ,82,78740
11,Baby Driver (2017) ,89,48114
12,Battleship Potemkin (1925) ,85,18709
13,Bicycle Thieves (Ladri di biciclette) (1949) ,94,33723
14,Boyhood (2014) ,81,88478
15,Brooklyn (2015) ,87,45763
16,Casablanca (1942) ,95,355952
17,Citizen Kane (1941) ,90,157274
18,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964) ,94,208215
19,Dunkirk (2017) ,82,53555
20,E.T. The Extra-Terrestrial (1982) ,72,32313030
21,Finding Nemo (2003) ,86,33355673
22,Frankenstein (1931) ,87,41140
23,Get Out (2017) ,87,63837
24,Gone With the Wind (1939) ,93,292794
25,Gravity (2013) ,80,301261
26,Harry Potter and the Deathly Hallows - Part 2 (2011) ,89,389431
27,Hell or High Water (2016) ,88,37738
28,High Noon (1952) ,89,25065
29,Inside Out (2015) ,89,133558
30,It Happened One Night (1934) ,93,33106
31,Jaws (1975) ,90,942217
32,King Kong (1933) ,86,89669
33,L.A. Confidential (1997) ,94,149772
34,La Grande illusion (Grand Illusion) (1938) ,92,11490
35,La La Land (2016) ,82,67325
36,Laura (1944) ,91,10481
37,Logan (2017) ,91,86540
38,Mad Max: Fury Road (2015) ,86,123937
39,Man on Wire (2008) ,87,29827
40,Manchester by the Sea (2016) ,77,48189
41,Metropolis (1927) ,92,62018
42,Modern Times (1936) ,95,39736
43,Moonlight (2016) ,80,41956
44,M (1931) ,95,35778
45,North by Northwest (1959) ,94,78793
46,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922) ",87,47463
47,On the Waterfront (1954) ,95,51664
48,Open City (1946) ,92,6128
49,Pinocchio (1940) ,72,278682
50,Psycho (1960) ,94,238259
51,RashÃ´mon (1951) ,93,47657
52,Rear Window (1954) ,95,149458
53,Rebecca (1940) ,92,39026
54,Repulsion (1965) ,87,18655
55,Roman Holiday (1953) ,94,62895
56,Rosemary's Baby (1968) ,87,72669
57,Selma (2015) ,86,60533
58,Seven Samurai (Shichinin no Samurai) (1956) ,97,90049
59,Singin' in the Rain (1952) ,95,137643
60,Skyfall (2012) ,86,372497
61,Snow White and the Seven Dwarfs (1937) ,78,469510
62,Spotlight (2015) ,93,68142
63,Star Trek (2009) ,91,746458
64,Star Wars: Episode VII - The Force Awakens (2015) ,89,222789
65,Sunset Boulevard (1950) ,95,52783
66,Taxi Driver (1976) ,93,258405
67,The 39 Steps (1935) ,86,23647
68,The 400 Blows (Les Quatre cents coups) (1959) ,94,38368
69,The Adventures of Robin Hood (1938) ,89,33584
70,The Babadook (2014) ,72,37024
71,The Battle of Algiers (La Battaglia di Algeri) (1967) ,95,14267
72,The Big Sick (2017) ,90,23391
73,The Bride of Frankenstein (1935) ,87,24471
74,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920) ,89,27163
75,The Conformist (1970) ,91,8529
76,The Dark Knight (2008) ,94,1827436
77,"The Godfather, Part II (1974) ",97,409574
78,The Godfather (1972) ,98,730433
79,"The Good, the Bad and the Ugly (1966) ",97,238420
80,The Grapes of Wrath (1940) ,88,23954
81,The Jungle Book (2016) ,86,92856
82,The Last Picture Show (1971) ,90,13893
83,The Maltese Falcon (1941) ,91,57268
84,The Night of the Hunter (1955) ,90,24322
85,The Philadelphia Story (1940) ,93,46810
86,The Third Man (1949) ,93,53081
87,The Treasure of the Sierra Madre (1948) ,93,25627
88,The Wages of Fear (1953) ,95,8536
89,The Wizard of Oz (1939) ,89,874425
90,The Wrestler (2008) ,88,139795
91,Tokyo Story (TÃ´kyÃ´ monogatari) (1953) ,93,11325
92,Touch of Evil (1958) ,92,30867
93,Toy Story 2 (1999) ,86,998186
94,Toy Story 3 (2010) ,89,605098
95,Toy Story (1995) ,92,1107731
96,Up (2009) ,90,1201878
97,Vertigo (1958) ,93,101454
98,Wonder Woman (2017) ,90,112955
99,Zootopia (2016) ,92,98633
